run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,132,0.590959,77.833333,0.541139200,True,False,135
1,0,1,132,0.590959,77.757576,0.571388800,True,False,170
2,0,2,132,0.590959,77.272727,0.513140400,True,False,846
3,0,3,132,0.590959,77.287879,0.637075500,True,False,171
4,0,4,132,0.590959,77.5,0.549832800,True,False,225
5,0,5,132,0.590959,77.287879,0.511291600,True,False,159
6,0,6,132,0.590959,77.621212,0.631381000,True,False,132
7,0,7,132,0.590959,77.257576,0.529378200,True,False,145
8,0,8,132,0.590959,77.969697,0.509441200,True,False,132
9,0,9,132,0.590959,77.151515,0.546039400,True,False,174
10,1,0,83,0.237482,20.216867,0.510809800,True,False,435
11,1,1,83,0.237482,20.120482,0.637748800,True,False,126765
12,1,2,83,0.237482,19.084337,20.069871600,False,True,-1
13,1,3,83,0.237482,19.012048,0.576263300,True,False,244
14,1,4,83,0.237482,19.759036,0.551825600,True,False,1217
15,1,5,83,0.237482,19.036145,20.065550000,False,True,-1
16,1,6,83,0.237482,19.542169,0.519753000,True,False,1070
17,1,7,83,0.237482,19.445783,0.531775400,True,False,2979
18,1,8,83,0.237482,19.855422,0.531748700,True,False,3944
19,1,9,83,0.237482,19.951807,4.351139600,True,False,4068867
20,2,0,26,0.278083,5.153846,20.002889800,False,True,-1
21,2,1,26,0.278083,7.153846,0.737198900,True,False,133616
22,2,2,26,0.278083,6.153846,0.849835200,True,False,217311
23,2,3,26,0.278083,6.307692,0.567595100,True,False,73367
24,2,4,26,0.278083,6.846154,0.766281100,True,False,14286
25,2,5,26,0.278083,5.846154,0.889402900,True,False,262351
26,2,6,26,0.278083,6.923077,0.836209000,True,False,135456
27,2,7,26,0.278083,6.923077,20.013412000,False,True,-1
28,2,8,26,0.278083,7.0,12.873446300,True,False,22427272
29,2,9,26,0.278083,8.230769,0.831426600,True,False,112
30,3,0,148,0.333147,49.27027,0.665813100,True,False,279
31,3,1,148,0.333147,48.202703,0.488227400,True,False,200
32,3,2,148,0.333147,48.878378,0.494972000,True,False,13631
33,3,3,148,0.333147,47.608108,0.540427600,True,False,715
34,3,4,148,0.333147,48.986486,0.480641400,True,False,387
35,3,5,148,0.333147,49.635135,0.499503900,True,False,3655
36,3,6,148,0.333147,49.297297,0.546212100,True,False,1135
37,3,7,148,0.333147,48.689189,0.496773200,True,False,436
38,3,8,148,0.333147,48.175676,5.382961600,True,False,3631865
39,3,9,148,0.333147,48.054054,0.564563000,True,False,214
40,4,0,105,0.683906,70.247619,0.750094500,True,False,105
41,4,1,105,0.683906,71.6,0.715616700,True,False,108
42,4,2,105,0.683906,71.104762,0.800591900,True,False,108
43,4,3,105,0.683906,70.72381,1.013897300,True,False,105
44,4,4,105,0.683906,72.095238,0.478525800,True,False,105
45,4,5,105,0.683906,71.409524,0.504166900,True,False,113
46,4,6,105,0.683906,71.428571,0.551782300,True,False,108
47,4,7,105,0.683906,69.809524,0.486292400,True,False,112
48,4,8,105,0.683906,72.304762,0.555226700,True,False,108
49,4,9,105,0.683906,70.8,0.527133900,True,False,105
50,5,0,113,0.228334,25.380531,20.061595600,False,True,-1
51,5,1,113,0.228334,25.256637,11.348877100,True,False,10777003
52,5,2,113,0.228334,25.716814,20.087074100,False,True,-1
53,5,3,113,0.228334,25.504425,0.742415700,True,False,2954
54,5,4,113,0.228334,26.123894,0.992944000,True,False,646060
55,5,5,113,0.228334,25.380531,1.244938900,True,False,1016956
56,5,6,113,0.228334,25.646018,20.053461400,False,True,-1
57,5,7,113,0.228334,25.893805,20.104197100,False,True,-1
58,5,8,113,0.228334,25.469027,0.849923000,True,False,42372
59,5,9,113,0.228334,26.60177,20.149592900,False,True,-1
60,6,0,71,0.443819,30.788732,0.777974700,True,False,92
61,6,1,71,0.443819,32.28169,0.642449700,True,False,498
62,6,2,71,0.443819,33.070423,0.518365000,True,False,392
63,6,3,71,0.443819,31.802817,0.561779900,True,False,194
64,6,4,71,0.443819,30.535211,0.544895600,True,False,652
65,6,5,71,0.443819,30.028169,0.494392100,True,False,71
66,6,6,71,0.443819,31.15493,0.745826000,True,False,329
67,6,7,71,0.443819,31.239437,0.998524800,True,False,137
68,6,8,71,0.443819,30.507042,0.865886000,True,False,71
69,6,9,71,0.443819,31.239437,0.963696200,True,False,377
70,7,0,28,0.610817,16.142857,0.511636800,True,False,28
71,7,1,28,0.610817,15.857143,0.518074300,True,False,67
72,7,2,28,0.610817,15.928571,20.014432100,False,True,-1
73,7,3,28,0.610817,16.714286,0.800145600,True,False,162
74,7,4,28,0.610817,18.142857,0.544029400,True,False,31
75,7,5,28,0.610817,16.357143,0.578796700,True,False,242
76,7,6,28,0.610817,16.0,0.546195600,True,False,41
77,7,7,28,0.610817,16.285714,0.575809600,True,False,36
78,7,8,28,0.610817,15.928571,0.558250200,True,False,31
79,7,9,28,0.610817,17.0,0.609634400,True,False,66
80,8,0,30,0.527557,14.2,0.981709500,True,False,39
81,8,1,30,0.527557,15.066667,0.862411300,True,False,37
82,8,2,30,0.527557,15.466667,0.864813200,True,False,49
83,8,3,30,0.527557,15.466667,0.572587300,True,False,44
84,8,4,30,0.527557,14.666667,0.530637300,True,False,44
85,8,5,30,0.527557,15.0,0.534996700,True,False,30
86,8,6,30,0.527557,14.266667,0.562058100,True,False,85
87,8,7,30,0.527557,14.933333,0.521274200,True,False,30
88,8,8,30,0.527557,15.733333,0.558547200,True,False,30
89,8,9,30,0.527557,15.466667,0.575917600,True,False,39
90,9,0,118,0.642371,74.813559,0.590367100,True,False,122
91,9,1,118,0.642371,73.813559,1.002997200,True,False,125
92,9,2,118,0.642371,72.830508,0.708870000,True,False,121
93,9,3,118,0.642371,75.355932,1.003404100,True,False,133
94,9,4,118,0.642371,74.423729,0.601597300,True,False,120
95,9,5,118,0.642371,74.79661,0.551343300,True,False,4262
96,9,6,118,0.642371,75.372881,0.511352700,True,False,140
97,9,7,118,0.642371,74.762712,0.584045900,True,False,118
98,9,8,118,0.642371,74.898305,0.510258300,True,False,123
99,9,9,118,0.642371,76.152542,0.510354000,True,False,135
100,10,0,23,0.56027,12.956522,0.560818100,True,False,39
101,10,1,23,0.56027,12.695652,0.583797400,True,False,23
102,10,2,23,0.56027,12.26087,0.696866600,True,False,2767
103,10,3,23,0.56027,13.130435,0.734168300,True,False,23
104,10,4,23,0.56027,12.869565,0.855564400,True,False,973
105,10,5,23,0.56027,12.173913,0.589108400,True,False,23
106,10,6,23,0.56027,12.0,0.639676200,True,False,26
107,10,7,23,0.56027,12.26087,8.778770700,True,False,12899779
108,10,8,23,0.56027,12.869565,0.542814100,True,False,25
109,10,9,23,0.56027,12.869565,0.854616400,True,False,69
110,11,0,99,0.108472,10.545455,20.057667000,False,True,-1
111,11,1,99,0.108472,10.868687,20.117826300,False,True,-1
112,11,2,99,0.108472,10.222222,20.093224600,False,True,-1
113,11,3,99,0.108472,9.89899,20.221244800,False,True,-1
114,11,4,99,0.108472,10.060606,20.094320800,False,True,-1
115,11,5,99,0.108472,11.292929,20.061952100,False,True,-1
116,11,6,99,0.108472,10.929293,20.062258500,False,True,-1
117,11,7,99,0.108472,10.222222,20.066950400,False,True,-1
118,11,8,99,0.108472,9.737374,20.096639100,False,True,-1
119,11,9,99,0.108472,10.505051,20.101476600,False,True,-1
120,12,0,132,0.277057,36.318182,20.050294900,False,True,-1
121,12,1,132,0.277057,36.212121,20.145003900,False,True,-1
122,12,2,132,0.277057,35.227273,1.006012700,True,False,455442
123,12,3,132,0.277057,36.742424,1.848310000,True,False,1262758
124,12,4,132,0.277057,37.787879,0.527555400,True,False,10522
125,12,5,132,0.277057,36.257576,1.042816400,True,False,9919
126,12,6,132,0.277057,36.121212,1.143792600,True,False,1370
127,12,7,132,0.277057,37.681818,1.607084600,True,False,1158115
128,12,8,132,0.277057,35.181818,20.054904800,False,True,-1
129,12,9,132,0.277057,37.212121,0.863857600,True,False,65497
130,13,0,96,0.527015,50.166667,0.480330700,True,False,135
131,13,1,96,0.527015,47.9375,0.557458400,True,False,103
132,13,2,96,0.527015,50.4375,0.527226300,True,False,130
133,13,3,96,0.527015,49.875,0.493416800,True,False,145
134,13,4,96,0.527015,50.416667,0.575317000,True,False,148
135,13,5,96,0.527015,51.041667,0.520301300,True,False,9161
136,13,6,96,0.527015,50.208333,0.738374800,True,False,109
137,13,7,96,0.527015,50.854167,0.899268300,True,False,108
138,13,8,96,0.527015,49.833333,0.893735600,True,False,146
139,13,9,96,0.527015,50.6875,0.797972400,True,False,117
140,14,0,68,0.592973,39.735294,0.897366600,True,False,74
141,14,1,68,0.592973,40.294118,0.740167600,True,False,106
142,14,2,68,0.592973,39.5,0.729511000,True,False,68
143,14,3,68,0.592973,40.558824,0.491224200,True,False,68
144,14,4,68,0.592973,40.705882,0.538685700,True,False,68
