run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,20,0.70137,15.0,0.650003300,True,False,20
1,0,1,20,0.70137,13.0,0.624619600,True,False,20
2,0,2,20,0.70137,12.7,0.632847600,True,False,36
3,0,3,20,0.70137,14.0,0.611103500,True,False,20
4,0,4,20,0.70137,13.7,1.048340800,True,False,26
5,0,5,20,0.70137,13.6,0.818124200,True,False,20
6,0,6,20,0.70137,12.9,0.583478100,True,False,20
7,0,7,20,0.70137,13.2,0.619737800,True,False,20
8,0,8,20,0.70137,13.9,0.720784700,True,False,20
9,0,9,20,0.70137,13.1,0.621553100,True,False,20
10,1,0,20,0.196403,5.0,0.731517900,True,False,39281
11,1,1,20,0.196403,4.0,0.693911900,True,False,80018
12,1,2,20,0.196403,4.7,1.475647600,True,False,1608293
13,1,3,20,0.196403,4.2,1.866895700,False,False,735658
14,1,4,20,0.196403,3.8,0.995546400,False,False,97319
15,1,5,20,0.196403,4.2,0.605272600,True,False,5139
16,1,6,20,0.196403,3.4,0.543442600,False,False,0
17,1,7,20,0.196403,4.2,0.800060400,False,False,625466
18,1,8,20,0.196403,3.2,0.568866000,False,False,9961
19,1,9,20,0.196403,3.2,0.753371000,False,False,0
20,2,0,20,0.254405,4.1,0.847264100,True,False,21201
21,2,1,20,0.254405,4.8,1.039768000,True,False,323365
22,2,2,20,0.254405,4.7,1.820469600,False,False,2194704
23,2,3,20,0.254405,4.3,1.119586200,True,False,6990
24,2,4,20,0.254405,3.9,0.856408600,False,False,0
25,2,5,20,0.254405,4.0,0.695935300,False,False,137326
26,2,6,20,0.254405,4.3,0.542193800,True,False,2761
27,2,7,20,0.254405,4.6,0.637990700,True,False,78574
28,2,8,20,0.254405,5.4,8.654186900,False,False,14769939
29,2,9,20,0.254405,4.8,2.094756300,False,False,2640800
30,3,0,20,0.252913,5.1,0.603162000,True,False,781
31,3,1,20,0.252913,4.0,0.535110400,False,False,0
32,3,2,20,0.252913,4.8,0.546584100,False,False,0
33,3,3,20,0.252913,4.3,1.245530900,False,False,1244839
34,3,4,20,0.252913,4.8,0.857555400,True,False,50323
35,3,5,20,0.252913,3.8,0.933099000,False,False,66944
36,3,6,20,0.252913,5.0,1.144625300,True,False,223741
37,3,7,20,0.252913,4.8,1.998304400,False,False,2791842
38,3,8,20,0.252913,5.4,0.620192800,True,False,310555
39,3,9,20,0.252913,5.4,0.902775000,True,False,9018
40,4,0,20,0.183335,3.2,0.629637400,False,False,10443
41,4,1,20,0.183335,3.6,0.810956200,False,False,80833
42,4,2,20,0.183335,3.4,0.626398200,False,False,0
43,4,3,20,0.183335,3.3,0.800887200,False,False,10692
44,4,4,20,0.183335,4.0,0.734224900,False,False,40627
45,4,5,20,0.183335,3.0,0.636018200,False,False,3476
46,4,6,20,0.183335,4.0,0.567287700,False,False,0
47,4,7,20,0.183335,3.8,0.715717200,False,False,113481
48,4,8,20,0.183335,3.6,0.574881100,False,False,18934
49,4,9,20,0.183335,3.6,0.598463700,False,False,0
50,5,0,20,0.491169,9.6,0.962565900,True,False,29
51,5,1,20,0.491169,9.3,1.045045100,True,False,81
52,5,2,20,0.491169,9.8,0.786560600,True,False,378
53,5,3,20,0.491169,10.0,1.039772300,True,False,26
54,5,4,20,0.491169,8.8,0.710611900,True,False,34
55,5,5,20,0.491169,9.2,0.567060600,True,False,45
56,5,6,20,0.491169,9.3,0.506776400,True,False,75
57,5,7,20,0.491169,9.9,0.534443400,True,False,64
58,5,8,20,0.491169,9.6,0.529140300,True,False,20
59,5,9,20,0.491169,8.9,0.495705900,True,False,20
60,6,0,20,0.729738,13.1,0.552023900,True,False,58
61,6,1,20,0.729738,13.0,0.515082100,True,False,63
62,6,2,20,0.729738,13.9,0.563665700,True,False,20
63,6,3,20,0.729738,14.0,0.677102600,True,False,26
64,6,4,20,0.729738,14.4,0.805150600,True,False,20
65,6,5,20,0.729738,14.9,0.619494800,True,False,20
66,6,6,20,0.729738,14.3,0.500629100,True,False,24
67,6,7,20,0.729738,13.2,0.566492100,True,False,22
68,6,8,20,0.729738,14.0,0.517431100,True,False,27
69,6,9,20,0.729738,12.3,0.486611000,True,False,22
70,7,0,20,0.610796,11.3,0.569456200,True,False,30
71,7,1,20,0.610796,11.9,0.504491400,True,False,51
72,7,2,20,0.610796,11.7,0.510670500,True,False,36
73,7,3,20,0.610796,11.3,0.909395100,True,False,158
74,7,4,20,0.610796,12.6,0.985461400,True,False,20
75,7,5,20,0.610796,11.4,0.839792200,True,False,20
76,7,6,20,0.610796,11.6,0.588510000,True,False,32
77,7,7,20,0.610796,11.2,0.501588500,True,False,20
78,7,8,20,0.610796,11.7,0.488229200,True,False,724
79,7,9,20,0.610796,13.0,0.578450500,True,False,20
80,8,0,20,0.774815,13.7,0.498268500,True,False,29
81,8,1,20,0.774815,15.1,0.488792100,True,False,20
82,8,2,20,0.774815,14.1,0.549091600,True,False,29
