run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,132,0.620822,81.712121,21.034282600,False,True,-1
1,0,1,132,0.620822,81.712121,21.509684800,False,True,-1
2,0,2,132,0.620822,80.984848,21.287631600,False,True,-1
3,0,3,132,0.620822,81.318182,21.306447600,False,True,-1
4,0,4,132,0.620822,81.151515,20.932176600,False,True,-1
5,0,5,132,0.620822,81.151515,21.104269100,False,True,-1
6,0,6,132,0.620822,81.363636,21.786135100,False,True,-1
7,0,7,132,0.620822,81.19697,21.152393500,False,True,-1
8,0,8,132,0.620822,81.863636,21.585210800,False,True,-1
9,0,9,132,0.620822,80.681818,21.101662800,False,True,-1
10,1,0,83,0.317842,26.53012,20.153164000,False,True,-1
11,1,1,83,0.317842,26.26506,20.236143200,False,True,-1
12,1,2,83,0.317842,25.204819,20.119838900,False,True,-1
13,1,3,83,0.317842,25.831325,20.168804900,False,True,-1
14,1,4,83,0.317842,26.578313,20.145142200,False,True,-1
15,1,5,83,0.317842,25.590361,20.122856100,False,True,-1
16,1,6,83,0.317842,26.337349,20.143179500,False,True,-1
17,1,7,83,0.317842,26.457831,20.160806900,False,True,-1
18,1,8,83,0.317842,26.313253,20.125989800,False,True,-1
19,1,9,83,0.317842,26.240964,20.119090900,False,True,-1
20,2,0,26,0.352643,7.615385,20.015291800,False,True,-1
21,2,1,26,0.352643,8.769231,20.020227100,False,True,-1
22,2,2,26,0.352643,8.153846,20.021527500,False,True,-1
23,2,3,26,0.352643,8.076923,20.029942100,False,True,-1
24,2,4,26,0.352643,8.384615,20.014658800,False,True,-1
25,2,5,26,0.352643,7.692308,20.025077300,False,True,-1
26,2,6,26,0.352643,9.153846,20.013348300,False,True,-1
27,2,7,26,0.352643,9.307692,20.009530800,False,True,-1
28,2,8,26,0.352643,8.615385,20.023669100,False,True,-1
29,2,9,26,0.352643,9.692308,20.029418300,False,True,-1
30,3,0,148,0.39984,58.743243,20.835880900,False,True,-1
31,3,1,148,0.39984,58.121622,21.302489800,False,True,-1
32,3,2,148,0.39984,58.689189,20.972764900,False,True,-1
33,3,3,148,0.39984,57.662162,21.259882800,False,True,-1
