run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,20,0.70137,15.0,13.845761900,True,False,44702451
1,0,1,20,0.70137,13.0,14.361989900,True,False,43910246
2,0,2,20,0.70137,12.7,14.766346200,True,False,44038768
3,0,3,20,0.70137,14.0,14.812201000,True,False,44530983
4,0,4,20,0.70137,13.7,14.192987700,True,False,43328562
5,0,5,20,0.70137,13.6,20.053189400,False,True,-1
6,0,6,20,0.70137,12.9,20.104366800,False,True,-1
7,0,7,20,0.70137,13.2,20.084492600,False,True,-1
8,0,8,20,0.70137,13.9,20.071955000,False,True,-1
9,0,9,20,0.70137,13.1,20.088858800,False,True,-1
10,1,0,20,0.196403,5.0,12.550435200,True,False,2973047
11,1,1,20,0.196403,4.0,10.292339600,True,False,608399
12,1,2,20,0.196403,4.7,11.272244100,True,False,2305742
13,1,3,20,0.196403,4.2,10.254823200,False,False,718924
14,1,4,20,0.196403,3.8,9.977879600,False,False,317367
15,1,5,20,0.196403,4.2,10.593541000,True,False,1147012
16,1,6,20,0.196403,3.4,2.303857400,False,False,0
17,1,7,20,0.196403,4.2,10.289591000,False,False,897451
18,1,8,20,0.196403,3.2,9.897009700,False,False,44205
19,1,9,20,0.196403,3.2,2.324196100,False,False,0
20,2,0,20,0.254405,4.1,11.018827200,True,False,1236598
21,2,1,20,0.254405,4.8,11.360183500,True,False,2003740
22,2,2,20,0.254405,4.7,10.668250400,False,False,1003083
23,2,3,20,0.254405,4.3,11.086136300,True,False,1876567
24,2,4,20,0.254405,3.9,2.289310100,False,False,0
25,2,5,20,0.254405,4.0,10.155462200,False,False,398985
26,2,6,20,0.254405,4.3,10.126638200,True,False,818136
27,2,7,20,0.254405,4.6,10.283900500,True,False,1083678
28,2,8,20,0.254405,5.4,12.107438400,False,False,3196310
29,2,9,20,0.254405,4.8,10.556467600,False,False,1220817
30,3,0,20,0.252913,5.1,12.521703000,True,False,3848888
31,3,1,20,0.252913,4.0,2.304618600,False,False,0
32,3,2,20,0.252913,4.8,2.288712000,False,False,0
33,3,3,20,0.252913,4.3,10.608396400,False,False,1148011
34,3,4,20,0.252913,4.8,11.494601000,True,False,2363057
35,3,5,20,0.252913,3.8,10.636641600,False,False,261619
36,3,6,20,0.252913,5.0,11.573366700,True,False,2224664
37,3,7,20,0.252913,4.8,10.993113600,False,False,1561266
38,3,8,20,0.252913,5.4,13.876391300,True,False,5255693
39,3,9,20,0.252913,5.4,12.074946200,True,False,6193899
40,4,0,20,0.183335,3.2,9.559322700,False,False,65793
41,4,1,20,0.183335,3.6,10.336543800,False,False,256594
42,4,2,20,0.183335,3.4,2.358358100,False,False,0
43,4,3,20,0.183335,3.3,9.611620800,False,False,71628
44,4,4,20,0.183335,4.0,9.562124300,False,False,198016
45,4,5,20,0.183335,3.0,9.367074600,False,False,23999
46,4,6,20,0.183335,4.0,2.080657300,False,False,0
47,4,7,20,0.183335,3.8,9.581837000,False,False,279989
48,4,8,20,0.183335,3.6,10.125168000,False,False,83094
49,4,9,20,0.183335,3.6,2.195338200,False,False,0
50,5,0,20,0.491169,9.6,20.051114400,False,True,-1
51,5,1,20,0.491169,9.3,20.054903300,False,True,-1
52,5,2,20,0.491169,9.8,20.058740100,False,True,-1
53,5,3,20,0.491169,10.0,20.069581700,False,True,-1
54,5,4,20,0.491169,8.8,20.073760200,False,True,-1
55,5,5,20,0.491169,9.2,20.065600900,False,True,-1
56,5,6,20,0.491169,9.3,20.067777700,False,True,-1
57,5,7,20,0.491169,9.9,20.053571200,False,True,-1
58,5,8,20,0.491169,9.6,20.066441900,False,True,-1
