run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,132,0.590959,77.833333,4.534076200,False,False,2299969
1,0,1,132,0.590959,77.757576,0.796612000,True,False,0
2,0,2,132,0.590959,77.272727,0.646155700,False,False,-1
3,0,3,132,0.590959,77.287879,4.001776300,False,False,2299969
4,0,4,132,0.590959,77.5,1.139713700,False,False,-1
5,0,5,132,0.590959,77.287879,0.522492900,False,False,-1
6,0,6,132,0.590959,77.621212,2.816734700,False,False,2299969
7,0,7,132,0.590959,77.257576,20.436668400,False,True,-1
8,0,8,132,0.590959,77.969697,0.589321100,False,False,-1
9,0,9,132,0.590959,77.151515,4.155168400,False,False,2299969
10,1,0,83,0.237482,20.216867,0.644884500,False,False,-1
11,1,1,83,0.237482,20.120482,0.708098900,False,False,-1
12,1,2,83,0.237482,19.084337,1.976085000,False,False,571788
13,1,3,83,0.237482,19.012048,1.702402500,False,False,571788
14,1,4,83,0.237482,19.759036,2.014818000,False,False,571788
15,1,5,83,0.237482,19.036145,0.780842500,False,False,-1
16,1,6,83,0.237482,19.542169,1.467630700,False,False,571788
17,1,7,83,0.237482,19.445783,3.224952700,False,False,571788
18,1,8,83,0.237482,19.855422,1.003601600,False,False,-1
19,1,9,83,0.237482,19.951807,1.166664400,False,False,571788
20,2,0,26,0.278083,5.153846,0.585591300,False,False,-1
21,2,1,26,0.278083,7.153846,0.738212100,False,False,17577
22,2,2,26,0.278083,6.153846,0.557251200,False,False,17577
23,2,3,26,0.278083,6.307692,0.475964800,False,False,-1
24,2,4,26,0.278083,6.846154,0.560441900,False,False,17577
25,2,5,26,0.278083,5.846154,0.579307900,False,False,-1
26,2,6,26,0.278083,6.923077,0.639350800,False,False,17577
27,2,7,26,0.278083,6.923077,0.861561300,False,False,17577
28,2,8,26,0.278083,7.0,0.573412000,False,False,17577
29,2,9,26,0.278083,8.230769,0.618234200,False,False,17577
30,3,0,148,0.333147,49.27027,5.481397500,False,False,3241793
31,3,1,148,0.333147,48.202703,5.686652900,False,False,3241793
32,3,2,148,0.333147,48.878378,7.637907000,False,False,3241793
33,3,3,148,0.333147,47.608108,0.694470800,False,False,-1
34,3,4,148,0.333147,48.986486,7.050526400,False,False,3241793
35,3,5,148,0.333147,49.635135,0.718782800,False,False,-1
36,3,6,148,0.333147,49.297297,0.742909600,False,False,-1
37,3,7,148,0.333147,48.689189,0.642194800,False,False,-1
38,3,8,148,0.333147,48.175676,0.983908200,False,False,-1
39,3,9,148,0.333147,48.054054,5.611967500,False,False,3241793
40,4,0,105,0.683906,70.247619,0.671576400,False,False,-1
41,4,1,105,0.683906,71.6,0.678813200,False,False,-1
42,4,2,105,0.683906,71.104762,0.586356300,False,False,-1
43,4,3,105,0.683906,70.72381,0.778990600,False,False,-1
44,4,4,105,0.683906,72.095238,20.514650800,False,True,-1
45,4,5,105,0.683906,71.409524,0.574689100,False,False,-1
46,4,6,105,0.683906,71.428571,0.554532600,False,False,-1
47,4,7,105,0.683906,69.809524,0.617715400,False,False,-1
48,4,8,105,0.683906,72.304762,18.523850100,False,False,1157626
49,4,9,105,0.683906,70.8,0.786849600,False,False,-1
50,5,0,113,0.228334,25.380531,0.550291800,False,False,-1
51,5,1,113,0.228334,25.256637,0.517921100,False,False,-1
52,5,2,113,0.228334,25.716814,6.104646400,False,False,1442898
53,5,3,113,0.228334,25.504425,0.480714800,False,False,-1
54,5,4,113,0.228334,26.123894,0.516095100,False,False,-1
55,5,5,113,0.228334,25.380531,4.742916200,False,False,1442898
56,5,6,113,0.228334,25.646018,3.661456800,False,False,1442898
57,5,7,113,0.228334,25.893805,5.399409500,False,False,1442898
58,5,8,113,0.228334,25.469027,3.133198000,False,False,1442898
59,5,9,113,0.228334,26.60177,9.192290100,False,False,1442898
60,6,0,71,0.443819,30.788732,1.042596200,False,False,-1
61,6,1,71,0.443819,32.28169,0.649885700,False,False,-1
62,6,2,71,0.443819,33.070423,0.533804400,False,False,-1
63,6,3,71,0.443819,31.802817,0.528479000,False,False,-1
64,6,4,71,0.443819,30.535211,0.991248100,False,False,357912
65,6,5,71,0.443819,30.028169,1.238747100,False,False,357912
66,6,6,71,0.443819,31.15493,0.522719600,False,False,-1
67,6,7,71,0.443819,31.239437,1.081841100,False,False,357912
68,6,8,71,0.443819,30.507042,0.810621500,False,False,-1
69,6,9,71,0.443819,31.239437,1.110983300,False,False,357912
70,7,0,28,0.610817,16.142857,0.525274200,False,False,-1
71,7,1,28,0.610817,15.857143,0.574827300,False,False,-1
72,7,2,28,0.610817,15.928571,0.592085500,False,False,-1
73,7,3,28,0.610817,16.714286,0.882522300,False,False,-1
