run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,20,0.70137,15.0,0.968598500,False,False,-1
1,0,1,20,0.70137,13.0,0.975203200,False,False,8001
2,0,2,20,0.70137,12.7,0.887853500,False,False,8001
3,0,3,20,0.70137,14.0,0.949003600,False,False,-1
4,0,4,20,0.70137,13.7,1.070091700,False,False,-1
5,0,5,20,0.70137,13.6,1.192464600,False,False,-1
6,0,6,20,0.70137,12.9,1.038710600,True,False,0
7,0,7,20,0.70137,13.2,0.989405300,True,False,0
8,0,8,20,0.70137,13.9,0.932605100,False,False,-1
9,0,9,20,0.70137,13.1,0.894161800,False,False,-1
10,1,0,20,0.196403,5.0,1.000406100,False,False,-1
11,1,1,20,0.196403,4.0,0.856330400,False,False,1
12,1,2,20,0.196403,4.7,0.882087600,False,False,-1
13,1,3,20,0.196403,4.2,0.946080700,False,False,-1
14,1,4,20,0.196403,3.8,0.909942400,False,False,1
15,1,5,20,0.196403,4.2,0.948978700,False,False,-1
16,1,6,20,0.196403,3.4,0.955347700,False,False,0
17,1,7,20,0.196403,4.2,0.831718700,False,False,-1
18,1,8,20,0.196403,3.2,0.942038500,False,False,-1
19,1,9,20,0.196403,3.2,0.981675800,False,False,0
20,2,0,20,0.254405,4.1,0.942572700,False,False,-1
21,2,1,20,0.254405,4.8,0.907316800,False,False,-1
22,2,2,20,0.254405,4.7,0.979920900,False,False,-1
23,2,3,20,0.254405,4.3,1.066522500,False,False,-1
24,2,4,20,0.254405,3.9,1.132882800,False,False,0
25,2,5,20,0.254405,4.0,1.125782500,False,False,-1
26,2,6,20,0.254405,4.3,1.213593400,False,False,-1
27,2,7,20,0.254405,4.6,1.060703200,False,False,-1
28,2,8,20,0.254405,5.4,1.074917800,False,False,8001
29,2,9,20,0.254405,4.8,1.222616600,False,False,-1
30,3,0,20,0.252913,5.1,1.146837100,False,False,-1
31,3,1,20,0.252913,4.0,1.465310000,False,False,0
32,3,2,20,0.252913,4.8,1.041518600,False,False,0
33,3,3,20,0.252913,4.3,0.991820400,False,False,-1
34,3,4,20,0.252913,4.8,0.964481400,False,False,-1
35,3,5,20,0.252913,3.8,0.992008500,False,False,-1
36,3,6,20,0.252913,5.0,0.899335600,False,False,8001
37,3,7,20,0.252913,4.8,0.948166000,False,False,-1
38,3,8,20,0.252913,5.4,0.856049100,False,False,-1
39,3,9,20,0.252913,5.4,0.900116900,False,False,-1
40,4,0,20,0.183335,3.2,0.944341700,False,False,-1
41,4,1,20,0.183335,3.6,0.874270900,False,False,-1
42,4,2,20,0.183335,3.4,0.934096000,False,False,0
43,4,3,20,0.183335,3.3,0.950328700,False,False,-1
44,4,4,20,0.183335,4.0,0.982829900,False,False,8001
45,4,5,20,0.183335,3.0,0.921098700,False,False,-1
46,4,6,20,0.183335,4.0,0.966814100,False,False,0
47,4,7,20,0.183335,3.8,0.942144000,False,False,-1
48,4,8,20,0.183335,3.6,0.915207100,False,False,-1
49,4,9,20,0.183335,3.6,0.968997100,False,False,0
50,5,0,20,0.491169,9.6,0.906888300,False,False,-1
51,5,1,20,0.491169,9.3,0.851333000,False,False,-1
52,5,2,20,0.491169,9.8,0.980161500,False,False,-1
53,5,3,20,0.491169,10.0,0.948383700,False,False,-1
54,5,4,20,0.491169,8.8,0.834088100,False,False,-1
55,5,5,20,0.491169,9.2,0.951362800,False,False,-1
56,5,6,20,0.491169,9.3,0.923718500,False,False,-1
57,5,7,20,0.491169,9.9,0.910790400,False,False,-1
58,5,8,20,0.491169,9.6,0.944558700,False,False,-1
59,5,9,20,0.491169,8.9,1.034062800,False,False,8001
60,6,0,20,0.729738,13.1,0.838812900,True,False,0
61,6,1,20,0.729738,13.0,0.992930400,False,False,-1
62,6,2,20,0.729738,13.9,0.954978600,False,False,-1
63,6,3,20,0.729738,14.0,0.938959300,False,False,8001
64,6,4,20,0.729738,14.4,0.978371200,True,False,0
65,6,5,20,0.729738,14.9,0.942431500,True,False,0
66,6,6,20,0.729738,14.3,0.874251600,False,False,-1
67,6,7,20,0.729738,13.2,0.964587300,False,False,-1
68,6,8,20,0.729738,14.0,1.292002800,False,False,-1
69,6,9,20,0.729738,12.3,0.679073700,False,False,-1
70,7,0,20,0.610796,11.3,0.738525900,False,False,8001
71,7,1,20,0.610796,11.9,0.577502000,False,False,8001
72,7,2,20,0.610796,11.7,0.538527700,True,False,0
73,7,3,20,0.610796,11.3,0.635366300,False,False,-1
74,7,4,20,0.610796,12.6,0.495816800,False,False,-1
75,7,5,20,0.610796,11.4,0.956370300,False,False,-1
76,7,6,20,0.610796,11.6,0.654291100,False,False,-1
77,7,7,20,0.610796,11.2,1.136514000,False,False,-1
78,7,8,20,0.610796,11.7,0.579585300,False,False,8001
79,7,9,20,0.610796,13.0,0.587412300,False,False,-1
80,8,0,20,0.774815,13.7,0.489506100,True,False,0
81,8,1,20,0.774815,15.1,0.566820300,False,False,8001
82,8,2,20,0.774815,14.1,0.554491100,False,False,-1
83,8,3,20,0.774815,13.7,0.567599800,False,False,-1
84,8,4,20,0.774815,14.5,0.963099900,False,False,-1
85,8,5,20,0.774815,14.8,0.982541900,True,False,0
86,8,6,20,0.774815,14.2,1.030577600,False,False,-1
87,8,7,20,0.774815,14.6,0.519060600,False,False,-1
88,8,8,20,0.774815,14.6,0.623051200,False,False,-1
89,8,9,20,0.774815,14.1,0.515121200,True,False,0
90,9,0,20,0.657528,12.1,0.556331100,False,False,-1
91,9,1,20,0.657528,12.0,0.631292400,False,False,-1
92,9,2,20,0.657528,11.0,0.565571400,False,False,-1
93,9,3,20,0.657528,12.5,0.802012600,False,False,-1
94,9,4,20,0.657528,12.5,0.879079200,False,False,-1
95,9,5,20,0.657528,12.2,0.555981600,False,False,-1
96,9,6,20,0.657528,11.9,0.507318300,False,False,-1
97,9,7,20,0.657528,12.2,0.781749100,False,False,-1
98,9,8,20,0.657528,11.0,0.823691300,False,False,8001
99,9,9,20,0.657528,12.0,0.637627200,False,False,-1
100,10,0,20,0.012104,0.6,0.514913800,False,False,0
