run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,132,0.590959,77.833333,1.968086100,True,False,135
1,0,1,132,0.590959,77.757576,1.998682000,True,False,132
2,0,2,132,0.590959,77.272727,2.411637000,True,False,135
3,0,3,132,0.590959,77.287879,3.210124700,True,False,132
4,0,4,132,0.590959,77.5,3.387744300,True,False,132
5,0,5,132,0.590959,77.287879,2.664263700,True,False,135
6,0,6,132,0.590959,77.621212,1.967724500,True,False,132
7,0,7,132,0.590959,77.257576,1.877355400,True,False,141
8,0,8,132,0.590959,77.969697,1.754148000,True,False,175
9,0,9,132,0.590959,77.151515,1.668033200,True,False,132
10,1,0,83,0.237482,20.216867,0.946941700,True,False,86
11,1,1,83,0.237482,20.120482,0.979691300,True,False,86
12,1,2,83,0.237482,19.084337,20.115659500,False,True,-1
13,1,3,83,0.237482,19.012048,0.844254600,True,False,179
14,1,4,83,0.237482,19.759036,1.069456800,True,False,405
15,1,5,83,0.237482,19.036145,1.011941900,True,False,533
16,1,6,83,0.237482,19.542169,0.803014400,True,False,156
17,1,7,83,0.237482,19.445783,0.761177900,True,False,209
18,1,8,83,0.237482,19.855422,1.538941900,True,False,787
19,1,9,83,0.237482,19.951807,20.117197200,False,True,-1
20,2,0,26,0.278083,5.153846,0.894913800,False,False,0
21,2,1,26,0.278083,7.153846,0.534737100,True,False,60
22,2,2,26,0.278083,6.153846,0.628100200,True,False,125
23,2,3,26,0.278083,6.307692,0.592840800,True,False,68
24,2,4,26,0.278083,6.846154,0.547732900,True,False,88
25,2,5,26,0.278083,5.846154,0.640424900,True,False,61
26,2,6,26,0.278083,6.923077,0.887979900,True,False,34
27,2,7,26,0.278083,6.923077,1.065167800,True,False,65
28,2,8,26,0.278083,7.0,1.087258500,True,False,99
29,2,9,26,0.278083,8.230769,0.637040100,True,False,29
30,3,0,148,0.333147,49.27027,1.485884100,True,False,154
31,3,1,148,0.333147,48.202703,1.495413900,True,False,167
32,3,2,148,0.333147,48.878378,2.272711900,True,False,157
33,3,3,148,0.333147,47.608108,1.329524900,True,False,189
34,3,4,148,0.333147,48.986486,20.600824200,False,True,-1
35,3,5,148,0.333147,49.635135,1.693819400,True,False,152
36,3,6,148,0.333147,49.297297,20.722619200,False,True,-1
37,3,7,148,0.333147,48.689189,1.418754200,True,False,155
38,3,8,148,0.333147,48.175676,1.235445500,True,False,228
39,3,9,148,0.333147,48.054054,1.270985100,True,False,148
40,4,0,105,0.683906,70.247619,1.112721200,True,False,107
41,4,1,105,0.683906,71.6,0.878759700,True,False,105
42,4,2,105,0.683906,71.104762,1.065075400,True,False,111
43,4,3,105,0.683906,70.72381,1.156170500,True,False,105
44,4,4,105,0.683906,72.095238,0.915460300,True,False,105
45,4,5,105,0.683906,71.409524,1.325296700,True,False,105
46,4,6,105,0.683906,71.428571,1.115391300,True,False,105
47,4,7,105,0.683906,69.809524,0.792596900,True,False,108
48,4,8,105,0.683906,72.304762,0.977408900,True,False,105
49,4,9,105,0.683906,70.8,1.063882500,True,False,112
50,5,0,113,0.228334,25.380531,1.432857700,True,False,136
51,5,1,113,0.228334,25.256637,4.221526700,True,False,3809
52,5,2,113,0.228334,25.716814,20.153685800,False,True,-1
53,5,3,113,0.228334,25.504425,1.334391300,True,False,211
54,5,4,113,0.228334,26.123894,20.115432000,False,True,-1
55,5,5,113,0.228334,25.380531,19.646625200,True,False,17480
56,5,6,113,0.228334,25.646018,1.098257400,True,False,120
57,5,7,113,0.228334,25.893805,20.059765600,False,True,-1
58,5,8,113,0.228334,25.469027,1.394293000,True,False,558
59,5,9,113,0.228334,26.60177,1.245752700,True,False,607
60,6,0,71,0.443819,30.788732,0.742743500,True,False,71
61,6,1,71,0.443819,32.28169,0.646557100,True,False,77
62,6,2,71,0.443819,33.070423,0.631335600,True,False,71
63,6,3,71,0.443819,31.802817,0.714536800,True,False,91
64,6,4,71,0.443819,30.535211,0.752996700,True,False,71
65,6,5,71,0.443819,30.028169,1.118578400,True,False,224
66,6,6,71,0.443819,31.15493,0.581608600,True,False,73
67,6,7,71,0.443819,31.239437,0.910410600,True,False,71
68,6,8,71,0.443819,30.507042,0.633439100,True,False,71
69,6,9,71,0.443819,31.239437,0.644130400,True,False,88
70,7,0,28,0.610817,16.142857,0.935984900,True,False,38
71,7,1,28,0.610817,15.857143,0.663145600,True,False,28
72,7,2,28,0.610817,15.928571,0.526946800,True,False,28
73,7,3,28,0.610817,16.714286,0.785323000,True,False,30
74,7,4,28,0.610817,18.142857,0.559776300,True,False,28
75,7,5,28,0.610817,16.357143,0.527189500,True,False,28
76,7,6,28,0.610817,16.0,0.925642500,True,False,48
77,7,7,28,0.610817,16.285714,0.607265500,True,False,31
78,7,8,28,0.610817,15.928571,0.603739100,True,False,31
79,7,9,28,0.610817,17.0,0.809326600,True,False,30
80,8,0,30,0.527557,14.2,0.657858500,True,False,33
81,8,1,30,0.527557,15.066667,0.524729800,True,False,30
82,8,2,30,0.527557,15.466667,0.944353100,True,False,30
83,8,3,30,0.527557,15.466667,0.544901600,True,False,34
84,8,4,30,0.527557,14.666667,0.586340300,True,False,30
85,8,5,30,0.527557,15.0,0.739641600,True,False,30
86,8,6,30,0.527557,14.266667,0.650747300,True,False,30
87,8,7,30,0.527557,14.933333,0.523338200,True,False,33
88,8,8,30,0.527557,15.733333,0.831703000,True,False,30
89,8,9,30,0.527557,15.466667,0.637350100,True,False,32
90,9,0,118,0.642371,74.813559,1.155673200,True,False,118
91,9,1,118,0.642371,73.813559,1.141897700,True,False,142
92,9,2,118,0.642371,72.830508,1.414067600,True,False,120
93,9,3,118,0.642371,75.355932,0.984028800,True,False,120
94,9,4,118,0.642371,74.423729,1.488743400,True,False,118
95,9,5,118,0.642371,74.79661,1.458820000,True,False,118
96,9,6,118,0.642371,75.372881,1.232966900,True,False,118
97,9,7,118,0.642371,74.762712,1.296931100,True,False,121
98,9,8,118,0.642371,74.898305,1.102548800,True,False,118
99,9,9,118,0.642371,76.152542,1.345720700,True,False,118
100,10,0,23,0.56027,12.956522,0.645453800,True,False,23
101,10,1,23,0.56027,12.695652,0.693657400,True,False,28
102,10,2,23,0.56027,12.26087,0.512032800,True,False,23
103,10,3,23,0.56027,13.130435,0.846555900,True,False,25
104,10,4,23,0.56027,12.869565,0.668666500,True,False,23
105,10,5,23,0.56027,12.173913,0.527025500,True,False,25
106,10,6,23,0.56027,12.0,0.610568800,True,False,45
107,10,7,23,0.56027,12.26087,0.506078300,True,False,23
108,10,8,23,0.56027,12.869565,0.814255900,True,False,23
109,10,9,23,0.56027,12.869565,0.707761900,True,False,23
110,11,0,99,0.108472,10.545455,20.122037500,False,True,-1
111,11,1,99,0.108472,10.868687,20.185897400,False,True,-1
112,11,2,99,0.108472,10.222222,20.117382900,False,True,-1
113,11,3,99,0.108472,9.89899,13.938406500,True,False,22112
114,11,4,99,0.108472,10.060606,20.205105100,False,True,-1
115,11,5,99,0.108472,11.292929,20.209601500,False,True,-1
