run_idx,graph_idx,rep,n,p,avg_degree,time_s,found,timed_out,rec_calls
0,0,0,20,0.70137,15.0,0.965303200,True,False,20
1,0,1,20,0.70137,13.0,1.015612700,True,False,22
2,0,2,20,0.70137,12.7,1.046938300,True,False,20
3,0,3,20,0.70137,14.0,1.272426400,True,False,20
4,0,4,20,0.70137,13.7,1.122208000,True,False,22
5,0,5,20,0.70137,13.6,1.288796100,True,False,20
6,0,6,20,0.70137,12.9,1.091866300,True,False,23
7,0,7,20,0.70137,13.2,0.974115900,True,False,20
8,0,8,20,0.70137,13.9,0.978954400,True,False,20
9,0,9,20,0.70137,13.1,1.020421100,True,False,20
10,1,0,20,0.196403,5.0,9.402070400,True,False,75231
11,1,1,20,0.196403,4.0,0.980120400,True,False,218
12,1,2,20,0.196403,4.7,1.227066000,True,False,3067
13,1,3,20,0.196403,4.2,0.985209700,False,False,0
14,1,4,20,0.196403,3.8,0.889330400,False,False,0
15,1,5,20,0.196403,4.2,1.022803800,True,False,784
16,1,6,20,0.196403,3.4,0.986804900,False,False,0
17,1,7,20,0.196403,4.2,1.036437800,False,False,0
18,1,8,20,0.196403,3.2,0.946594300,False,False,0
19,1,9,20,0.196403,3.2,1.002269800,False,False,0
20,2,0,20,0.254405,4.1,1.004329800,True,False,167
21,2,1,20,0.254405,4.8,1.265100100,True,False,20
22,2,2,20,0.254405,4.7,0.872633700,False,False,0
23,2,3,20,0.254405,4.3,0.927492900,True,False,82
24,2,4,20,0.254405,3.9,0.939371100,False,False,0
25,2,5,20,0.254405,4.0,0.834931600,False,False,0
26,2,6,20,0.254405,4.3,0.944536400,True,False,172
27,2,7,20,0.254405,4.6,1.369783000,True,False,2342
28,2,8,20,0.254405,5.4,20.016068700,False,True,-1
29,2,9,20,0.254405,4.8,1.160491200,False,False,0
30,3,0,20,0.252913,5.1,1.154920500,True,False,78
31,3,1,20,0.252913,4.0,1.109167900,False,False,0
32,3,2,20,0.252913,4.8,1.120054600,False,False,0
33,3,3,20,0.252913,4.3,1.146783000,False,False,0
34,3,4,20,0.252913,4.8,1.166244300,True,False,20
35,3,5,20,0.252913,3.8,1.168589000,False,False,0
36,3,6,20,0.252913,5.0,1.031911800,True,False,20
37,3,7,20,0.252913,4.8,1.103072600,False,False,0
38,3,8,20,0.252913,5.4,1.154932400,True,False,20
39,3,9,20,0.252913,5.4,1.158802700,True,False,60
40,4,0,20,0.183335,3.2,1.157430100,False,False,0
41,4,1,20,0.183335,3.6,1.014851100,False,False,0
42,4,2,20,0.183335,3.4,1.132596300,False,False,0
43,4,3,20,0.183335,3.3,1.157491000,False,False,0
44,4,4,20,0.183335,4.0,1.247074500,False,False,0
45,4,5,20,0.183335,3.0,1.204842900,False,False,0
46,4,6,20,0.183335,4.0,1.161338600,False,False,0
47,4,7,20,0.183335,3.8,1.025325900,False,False,0
48,4,8,20,0.183335,3.6,1.065181500,False,False,0
49,4,9,20,0.183335,3.6,1.146640700,False,False,0
50,5,0,20,0.491169,9.6,1.158883100,True,False,36
51,5,1,20,0.491169,9.3,1.148349000,True,False,20
52,5,2,20,0.491169,9.8,1.130962500,True,False,20
53,5,3,20,0.491169,10.0,1.013566800,True,False,20
54,5,4,20,0.491169,8.8,1.105739700,True,False,47
55,5,5,20,0.491169,9.2,1.160934000,True,False,46
56,5,6,20,0.491169,9.3,1.201166500,True,False,20
57,5,7,20,0.491169,9.9,1.180558900,True,False,119
58,5,8,20,0.491169,9.6,1.151599000,True,False,20
59,5,9,20,0.491169,8.9,1.053325000,True,False,22
60,6,0,20,0.729738,13.1,1.136152600,True,False,23
61,6,1,20,0.729738,13.0,1.117646900,True,False,20
62,6,2,20,0.729738,13.9,1.167102500,True,False,20
63,6,3,20,0.729738,14.0,1.159543200,True,False,20
64,6,4,20,0.729738,14.4,1.154277600,True,False,20
65,6,5,20,0.729738,14.9,1.156215800,True,False,26
66,6,6,20,0.729738,14.3,1.039333600,True,False,20
67,6,7,20,0.729738,13.2,1.147294100,True,False,20
